127.0.0.1 - - [23/Oct/2016:12:28:32 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/images/autentica64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:39 -0200] "GET /Final/images/login24.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "GET /Final/images/carl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "GET /Final/images/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "GET /Final/images/perfil2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:43 -0200] "GET /Final/images/food2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:47 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:51 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:52 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:55 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:28:58 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:01 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:03 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "POST /Final/autentica.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/index.jsp HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/images/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/images/carl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:13 -0200] "GET /Final/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:15 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:51 -0200] "GET /Final/sair.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:29:51 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:01 -0200] "GET /Final/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:01 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:01 -0200] "GET /Final/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:03 -0200] "GET /Final/meusdados.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:03 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:05 -0200] "GET /Final/minhaalimentacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:05 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:07 -0200] "GET /Final/alimentos.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:16:33:07 -0200] "GET /Final/login.jsp HTTP/1.1" 200 2330
